headline,url,timestamp,tags,summary
How Bombardier is cashing in on business elite's love affair with private jets,https://www.cnbc.com/2024/04/12/how-bombardier-is-cashing-in-on-elites-desire-for-private-jet-travel.html,2024-04-12T14:30:01+0000,"['air travel', 'bombardier inc', 'montreal', 'transportation', 'airlines', 'aerospace and defense industry', 'breaking news business', 'boeing co', 'berkshire hathaway inc', 'berkshire hathaway inc', 'wheels up experience inc', 'textron inc']","Commercial planes, trains and snowmobiles are out at Bombardier, as its debt-laden past pushes the company go all-in on the business jet. "
"The rich are getting second passports, citing risk of instability ",https://www.cnbc.com/2024/04/10/rich-americans-get-second-passports-citing-risk-of-instability.html,2024-04-10T12:44:24+0000,"['wealth', 'united states', 'social issues', 'business']","The top destinations for supplemental passports among Americans are Portugal, Malta, Greece and Italy, according to a leading law firm."
"Trump Media shares close down more than 5%, latest grim day for Truth Social owner",https://www.cnbc.com/2024/04/11/trump-media-shares-close-lower-as-truth-social-owner-slump-continues.html,2024-04-11T21:07:15+0000,"['donald trump', 'business', 'social media', 'government and politics', 'donald trump', 'trump media technology group corp', 'politics', 'breaking news politics']","The biggest shareholder in Trump Media is Donald Trump, the presumptive Republican presidential nominee."
"62-year-old started her business with $1,000—now it brings in over $25M a year",https://www.cnbc.com/2024/04/07/mckissack-and-mckissack-from-1000-in-savings-to-bringing-in-millions.html,2024-04-11T18:10:43+0000,"['heavy construction industry', 'video first', 'historic sites', 'cultural history museums', 'entrepreneurship']",Deryl McKissack's family has been involved in the construction industry for five generations — but that didn't guarantee success when she launched her own firm.
"90% of qualifying EV buyers opt for $7,500 tax credit upfront: Treasury",https://www.cnbc.com/2024/04/12/90percent-of-qualifying-ev-buyers-get-7500-tax-credit-as-upfront-payment.html,2024-04-12T14:59:43+0000,"['government taxation and revenue', 'income tax', 'taxes', 'electric vehicles', 'environment', 'autos', 'personal finance']",Most qualifying buyers of new electric vehicles choose to get their tax break as an advance payment instead of waiting until tax season.
Students earning college degrees notched steepest decline on record,https://www.cnbc.com/2024/04/12/students-earning-college-degrees-notched-steepest-decline-on-record.html,2024-04-12T15:33:29+0000,"['student loans', 'student financial aid', 'students', 'higher education', 'investment strategy', 'breaking news investing', 'personal finance']","After years of steady increases, the number of students earning college degrees fell for the second year in a row, according to a recent report."
Russia battles floods as Ural river swells; Moscow hits 'critical' Ukrainian infrastructure,https://www.cnbc.com/2024/04/12/russia-ukraine-live-updates.html,2024-04-12T12:51:15+0000,"['breaking news', 'breaking news europe', 'russia', 'war', 'russiaukraine crisis', 'politics', 'breaking news politics', 'ukraine', 'environment']","Overnight attacks by Russia on Ukraine damaged infrastructure and private homes across the country, according to regional officials."
"Jamie Dimon warns that inflation, wars and Fed policy pose major threats ahead",https://www.cnbc.com/2024/04/12/jamie-dimon-warns-that-inflation-wars-and-fed-policy-pose-major-threats-ahead.html,2024-04-12T15:12:18+0000,"['breaking news economy', 'economy', 'breaking news', 'banks', 'inflation', 'federal reserve bank', 'jamie dimon', 'jpmorgan drn', 'prices']","Taken together, Dimon said the three issues pose substantial unknowns."
Citigroup tops estimates for revenue on better-than-expected Wall Street results,https://www.cnbc.com/2024/04/12/citigroup-c-earnings-q1-2024.html,2024-04-12T13:59:29+0000,"['breaking news earnings', 'investment strategy', 'breaking news investing', 'breaking news markets', 'earnings', 'banks', 'wall street', 'citigroup inc', 'jpmorgan drn', 'goldman sachs group inc', 'business']","Citigroup posted first-quarter revenue that topped estimates, helped by better-than-expected results in the bank's investment banking and trading operations. "
Globe Life shares rebound about 15% after plummeting more than 50% Thursday,https://www.cnbc.com/2024/04/12/globe-life-shares-rebound-after-plummeting-over-50percent-thursday.html,2024-04-12T15:21:19+0000,"['business', 'globe life inc']","A short seller uncovered ""extensive allegations of insurance fraud ignored by management despite being obvious and reported hundreds of times."""
"Denver, Boulder poach more of Silicon Valley's tech founders and VC billions",https://www.cnbc.com/2024/04/11/denver-boulder-poach-more-of-silicon-valleys-founders-and-billions.html,2024-04-12T14:10:44+0000,"['colorado', 'startup', 'startups', 'venture capital', 'us economy', 'breaking news economy', 'economy', 'business', 'denver', 'boulder']",More startups are leaving the Bay Area for Denver and Boulder and they are thriving as venture billions flow into the Colorado metro region.
Bank of England scraps outdated inflation forecast model after Fed boss' review,https://www.cnbc.com/2024/04/12/bernanke-review-bank-of-england-scraps-fan-charts-in-forecast-overhaul.html,2024-04-12T14:19:52+0000,"['breaking news europe', 'andrew bailey', 'ben bernanke', 'prices', 'london', 'economy', 'central banking', 'interest rates', 'inflation', 'banks', 'breaking news economy']",The Bank of England announced an overhaul of its inflation forecasting models after a long-awaited review by former Fed Chair Ben Bernanke.
"Mark Cuban says his leadership style cost him $100,000 in NBA fines",https://www.cnbc.com/2024/04/12/mark-cuban-leadership-style-cost-him-thousands-in-nba-fines.html,2024-04-12T13:15:01+0000,"['entertainment', 'nba basketball', 'draymond green', 'mark cuban', 'dallas mavericks', 'leadership', 'mark cuban']","Mark Cuban values making connections with all of his employees, even if it costs him thousands of dollars, he recently told NBA player Draymond Green's podcast."
43-year-old started a side hustle in college—now it brings in $200 million a year,https://www.cnbc.com/2024/04/05/insomnia-cookies-college-side-hustle-to-multimillion-dollar-company.html,2024-04-10T19:43:27+0000,"['side hustle', 'entrepreneurship', 'video first']","First, Insomnia Cookies CEO Seth Berkowitz baked and delivered cookies across his college campus. Then, he turned it into a $500 million company."
Biden may start forgiving student debt before 2024 presidential election ,https://www.cnbc.com/2024/04/10/biden-administration-could-start-forgiving-student-debt-this-year.html,2024-04-10T20:44:36+0000,"['breaking news politics', 'joe biden', 'joe biden', 'voting', 'government and politics', 'personal finance', 'politics', 'donald trump']","The Biden administration is moving ahead quickly with its new student loan forgiveness plan, with hopes to start wiping out people's debts this fall. "
"Trump Media shares close down more than 8%, putting market cap under $5 billion",https://www.cnbc.com/2024/04/10/trump-media-stock-shares-drop-by-more-than-6percent.html,2024-04-10T20:19:15+0000,"['markets', 'breaking news markets', 'donald trump', 'trump media technology group corp', 'politics', 'breaking news politics', 'donald trump', 'social media', 'business']","Trump Media owns the Truth Social app. Donald Trump, the presumptive Republican presidential nominee, is the company's largest shareholder."
"There's another 'tricky' tax deadline on April 15, experts say",https://www.cnbc.com/2024/04/11/the-first-quarter-estimated-tax-deadline-for-2024-is-april-15.html,2024-04-11T18:53:41+0000,"['tax refunds', 'tax bill', 'taxes', 'national taxes', 'internal revenue service', 'tax planning', 'wealth', 'personal saving', 'government taxation and revenue', 'personal finance']","The first-quarter estimated tax deadline for 2024 is April 15, which is also the federal tax due date for most taxpayers. Here's how to avoid penalties. "
NIL-era college athletes navigate new realm of financial literacy,https://www.cnbc.com/2024/04/12/nil-era-college-athletes-navigate-new-realm-of-financial-literacy.html,2024-04-12T13:00:01+0000,"['business', 'sports', 'personal finance']","""All of the issues that pro athletes have dealt with for years are now going downstream,"" said former NFL player Brandon Copeland. "
Why overspending is one of the biggest financial mistakes you can make,https://www.cnbc.com/2024/04/01/why-overspending-is-one-of-the-biggest-financial-mistakes-you-can-make.html,2024-04-01T12:30:01+0000,"['personal finance', 'personal loans', 'personal spending', 'consumer spending', 'financial planning', 'financial planning for marriage', 'family finances', 'retiree finances', 'retirees', 'retirement planning', 'personal budgeting', 'luxury']",Spending too much can throw your financial plan out of whack and put your ability to reach big goals such as retirement at risk.
"4 cheap stocks to buy and hold for the next decade, according to the pros",https://www.cnbc.com/2024/04/12/cheap-stocks-to-buy-and-hold-for-the-next-decade-according-to-the-pros.html,2024-04-11T23:07:25+0000,"['stock markets', 'autozone inc', 'us bancorp', 'morningstar inc', 'kenvue inc', 'zimmer biomet holdings inc', 'united states']",The pros share tips for picking cheap stocks that hold long-term promise.
"This simple move 'takes minutes' to file a free federal tax extension, pro says",https://www.cnbc.com/2024/04/10/heres-how-to-file-a-federal-tax-extension-for-free-in-minutes.html,2024-04-10T17:51:35+0000,"['financial planning', 'financial planners', 'financial advisors', 'taxes', 'tax bill', 'national taxes', 'internal revenue service', 'personal finance', 'government taxation and revenue', 'tax planning', 'wealth', 'personal saving']","You can file a federal tax extension for free online and it only takes a few minutes, according to tax experts. Here's what taxpayers need to know."
Wells Fargo earnings top estimates despite lower interest income,https://www.cnbc.com/2024/04/12/wells-fargo-wfc-earnings-q1-2024.html,2024-04-12T14:12:10+0000,"['wells fargo co', 'earnings', 'markets', 'stock markets', 'wall street', 'investment strategy', 'breaking news business', 'breaking news investing', 'breaking news markets']","Wells Fargo on Friday reported first-quarter earnings and revenue that beat Wall Street expectations, despite a decline in net interest income."
Treasury yields fall as investors weigh state of economy,https://www.cnbc.com/2024/04/12/us-treasury-yields-as-investors-weigh-state-of-economy.html,2024-04-12T15:07:42+0000,"['medium term notes', 'markets', 'interest rates', 'us treasury bonds', 'treasury notes', 'treasury bills', 'economy', 'economic outlook', 'us economy', 'bonds', 'us 2 year treasury', 'us 10 year treasury', 'prices', 'economic events', 'government debt', 'breaking news markets']",U.S. Treasury yields declined on Friday as investors considered the state of the economy after the release of inflation data.
